# LaunchAgent (169) — label + RunAtLoad/KeepAlive/Program
com.balizero.nlm-bridge | prog=uvicorn | KeepAlive=true
com.balizero.nuzantara-drive-sync | prog=zsh | KeepAlive=
com.balizero.nuzantara.disk-watchdog | prog=bash | KeepAlive=
com.balizero.nuzantara.log-size-watchdog | prog=bash | KeepAlive=
com.balizero.observatory-export | prog=python3 | KeepAlive=
com.balizero.observatory-server | prog=python3 | KeepAlive=true
com.balizero.observatory | prog=zsh | KeepAlive=true
com.balizero.post-publish-poller | prog=python3 | KeepAlive=
com.balizero.post-publish-webhook | prog=python3 | KeepAlive=true
com.balizero.profile-monitor-wrapper | prog=python | KeepAlive=true
com.balizero.qdrant.daemon | prog=qdrant-daemon-wrapper.sh | KeepAlive=true
com.balizero.regulatory-watcher.daily | prog=zsh | KeepAlive=false
com.balizero.regulatory-watcher.fix-b-verify | prog=zsh | KeepAlive=false
com.balizero.renewal-alerts | prog=bash | KeepAlive=
com.balizero.research-sentinel | prog=zsh | KeepAlive=true
com.balizero.seo-cell.28d-check | prog=bash | KeepAlive=false
com.balizero.seo-cell.daily | prog=bash | KeepAlive=false
com.balizero.setup-team.daily | prog=bash | KeepAlive=
com.balizero.sota.m13-checkpoint | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.sota.m13-collect | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.sota.m13-monthly | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.sota.m13-weekly | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.translate.hourly | prog=python3 | KeepAlive=
com.balizero.wa-dashboard-m1 | prog=node | KeepAlive=true
com.balizero.wa-intelligence-incremental | prog=zsh | KeepAlive=
com.balizero.wa-lid-refresh | prog=curl | KeepAlive=
com.balizero.wa-mirror-attention-classifier | prog=wa-mirror-enrichment-wrapper.sh | KeepAlive=
com.balizero.wa-mirror-attention-digest | prog=wa-mirror-enrichment-wrapper.sh | KeepAlive=
com.balizero.wa-mirror-attention-realtime | prog=wa-mirror-enrichment-wrapper.sh | KeepAlive=
com.balizero.wa-mirror-auto-promote | prog=python3 | KeepAlive=
com.balizero.wa-mirror-launcher | prog=bash | KeepAlive=true
com.balizero.wa-mirror-strategic-recap | prog=python3 | KeepAlive=
com.balizero.wa-mirror | prog=node | KeepAlive=true
com.balizero.wa-viewer | prog=zsh | KeepAlive=true
com.balizero.wr2.canva-apply | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.canva-gc.weekly | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.canva-lease-watchdog.10min | prog=zsh | KeepAlive=
com.balizero.wr2.canva-oauth-watchdog | prog=bash | KeepAlive=
com.balizero.wr2.canva-renderer | prog=wr2-canva-renderer-wrapper.sh | KeepAlive=
com.balizero.wr2.canva-token-watchdog.daily | prog=zsh | KeepAlive=
com.balizero.wr2.carousel-dispatcher | prog=wr2-carousel-dispatcher-wrapper.sh | KeepAlive=true
com.balizero.wr2.connector | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.daily-metrics | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.deploy-puller | prog=bash | KeepAlive=
com.balizero.wr2.dossier-compiler | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.draft-generator | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.e2e-probe.daily | prog=bash | KeepAlive=
com.balizero.wr2.external-bench.monthly | prog=bash | KeepAlive=false
com.balizero.wr2.fact-checker | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.fact-extractor | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.hardening | prog=bash | KeepAlive=false
com.balizero.wr2.ig-metrics-analyst.weekly | prog=bash | KeepAlive=
com.balizero.wr2.ig-scraper.daily | prog=python | KeepAlive=
com.balizero.wr2.image-generator | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.learner-nightly | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.measurer | prog=bash | KeepAlive=false
com.balizero.wr2.newsletter | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.oracle | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.pg-proxy | prog=fly-pg-proxy-wrapper.sh | KeepAlive=true
com.balizero.wr2.pg-queue-sync | prog=bash | KeepAlive=
