no,kode_kbli,judul_kbli,ruang_lingkup,skala_usaha,tingkat_risiko,perizinan_berusaha,persyaratan,jangka_waktu_penerbitan,kewajiban,pb_uu_ikm,parameter,kewenangan
,02209,Usaha Kehutanan Lainnya,"4 Lembaga konservasi untuk kepentingan umum yang meliputi taman safari, kebun binatang, taman satwa, taman satwa khusus, kebun botani, herbarium, museum zoologi dan taman",- Mikro - Kecil - Menengah - Besar,6 Tinggi,NIB dan lzin,"1. Pemohon merupakan pelaku usaha nonperseorangan yaitu BUMN, BUMD, PI, atau Koperasi 2. Rencana karya pengelolaan lembaga konservasi untuk kepentingan umum 3. Proposal teknis 4. Site plan 5. Bukti kepemilikan atau legalitas",(et 20 Hari,1. Membuat rencana karya lima tahunan 2. Membuat rencana karya tahunan 3. Melakukan pembangunan infrastruktur 4. Mengelola lembaga konservasi secara intensif sesuai dengan etika dan kesejahteraan satwa,,Seluruh,Menteri/ Kepala Badan
Peredaran jenis,,NIB dan Sertihkat,1. Pemohon merupakan,14 Hari,1. Membangun sarana,Seluruh,Menteri/ Kepala Badan,,,,,
