page,no,kode_kbli,judul_kbli,ruang_lingkup,skala_usaha,tingkat_risiko,perizinan_berusaha,persyaratan,jangka_waktu_penerbitan,kewajiban,pb_uu_ikm,parameter,kewenangan
1,,02209,Usaha Lembaga - Mikro Tinggi NIB dan 1. Pemohon 20 Hari 1. Membuat Seluruh Menteri/ Kehu- konservas,,,,,,,,,,
157,,16212,Industri Kegiatan - Mikro Rendah NIB Otomatis 1. Merealisasi- Seluruh Gubernur Kayu pengolahan - Ke,,,,,,,,,,
169,,16215,Industri Kegiatan - Mikro Rendah NIB Otomatis I. Merealisasi- Seluruh Gubernur Kayu pengolahan - Ke,,,,,,,,,,
174,,52567,C,,,,,,,,,,
