no,kode_kbli,judul_kbli,ruang_lingkup,skala_usaha,tingkat_risiko,perizinan_berusaha,persyaratan,jangka_waktu_penerbitan,kewajiban,pb_uu_ikm,parameter,kewenangan
,52503,C No Kode Judul Ruang SLqta Tinglat Perizinan Persyeratan Janglra KewaJiban PB Paramcter Kewenangan KBLI,,,Tinggi,NIB dan,1. Melakukan Seluruh 2. Bagi jenis sebagai tanaman pengelola yang dari pemilik benihnya sumber benih wajib berasal atau dari sumber perjanjian benih 2. Dalam hal membidangi lokasi urusan,15 Hari,,,Seluruh,Gubernur
,52504,C PRESIDEN REFUBLTK INDONESIA r.c.tt2 ItIo Kode Judul Ruang Stela Tingtat Pcrlzinan Persyaratan Jangka Kewajiban,,,,,3. Memiliki benih 3. dengan Membuat disainnya laporan,,,,,
,52505,C 13 IVo Kode Judul Ruang Strela TingLat Perizinan Persyeratan Jangkr KewaJiban PB Parameter Kewenangen,,,,,4. Melaksanaberupa: kan tata a.,,,,,
,52506,C FRESIDEN REPIJBLTK INDONESIA 14 I[o Kode Judul Ruang Sknla Tingkat Perizinaa Persyaratan Jaagta Kewqiiban,,,,,,,,,,
,52507,C FRESIDEN REPUBLIK INDONESIA r.c.1 15 No Kode Judul Ruang SLala Tingtat Pcrizlnan Persyaratan Jangta,,,,,,,,,,
,52508,C FRESIDEN REPUBLIK INDONESIA 16 IYo Kode Judul Ruang SLala Tinglat Perizinan Persyaratan Janglra Kewajiban,,,,,"5. Memiliki tenaga ahli atau tenaga terampil di bidang pembibitan, dengan dibuktikan sertifikat pelatihan dan/atau ijazah akademik 6. Memiliki stok",,,,,
,52509,C FRESIDEN REPUtsLtK INDONESIA t.c.tt7 No Kode Judul Ruang $tqla TingLet Pcrizinea Persyaratan Jangta Kewajiban,,,,,"7. Terdapat aktivitas pembuatan bibit, yang dibuktikan dengan foto dan laporan kegiatan produksi bibit 8. Bukti bayar",,,,,
,52510,C 18 No Kode Judul Ruang SLala Tingkat Perizinan Persyaratan Janglra KcwaJibaa PB Parameter Kewcnangan,,,Tinggi,NIB dan,1. Melakukan Permohonan 2. Bagijenis atau tanaman perjanjian yang 2. Lokasi bersertihkat kegiatan: berdasarkan a.,5 Hari,,,Seluruh,Menteri
,52512,C FRESIDEN REPUBLTK INDONESIA r.c.120 Itlo Kode Judul Ruang SLals Tinglat Perizinan Persyaratan Jenglra KewaJiban,,,,,4. MelaksanaPerum kan tata 3. Memiliki Sistem irigasi dan,,,,,
,52513,C I.C.T2I No Kode Judul Ruang tlkqle Tinglat Perizinan Persyaratan Janglra KewaJiben PB Paramctcr Kewenangan,,,,,4. Memiliki sarana dan prasarana perbenihan dan pembibitan/ persemaian berupa: a.,,,,,
,52514,C PRESIDEN REPUBLIK INOONESIA r.c.t22 IYo Kode Judul Ruang SLala Tingket Perizinan Persyaraten Jangta Kewajiban,,,,,,,,,,
,52515,C PRESIDEN REPUBLIK INOONESIA r.c.t23 No Kode Judul Ruaag Slrela Tingtat Perizinan Persyaratan Jangta KewaJiban,,,,,,,,,,
,52516,C PRESIDEN REPIJBLIK INDONESIA I.C.t24 No Kode Judul Ruaag Skala Tinglet Perizinan Persyaratan Jangta KewaJiben,,,,,,,,,,
,52517,C r.c.125 Tingkat Pcrizinan Persyaratan Jangka Kewqiibea PB Parameter Kewenaagan KBLI KBLI Lingkup Usahe Rlsilo,,,,,5. Memiliki tenaga ahli atau tenaga terampil di bidang pengelolaan benih dan,,,,,
,52518,C r.c.126 IYo Kode Judul Ruang SLela Tinglat Perizinen Persyaratan JengLe Kewqflban PB Parameter Kewenangan,,,,,"6. Memiliki stok benih dan bibit yang bersertihkat, yang dibuktikan dengan laporan stok benih dan bibit bersertihkat 7. Terdapat aktivitas pembuatan bibit, yang dibuktikan dengan foto",,,,,
,52519,C T.C.T27 IIo Kode Judul Ruang Skala Ttnglet Pcrlzlnan Persyaratan Jenglra Kewqiiban PB Parameter Keweaengan,,,Tinggi,NIB dan,8. Bukti bayar,15 Hari,,,Seluruh,Menteri
,52520,C I.C.T28 No Kode Judul Ruaag Skala Tinglrat Perizlann Persyaratan Jangka Kcwqfiban PB Paramcter Keweaengaa,,,,,2. Menjaga agar pengedarbenih an benih dan/atau atau bibit b. 3. Melaksanadari luar kan negeri ketentuan 2. Memiliki Karantina dokumen 4. MenyerahTumbuhan kan dari,,,,,menteri
,52522,C r.c.130 IYo Kodc Judul Ruang St qla Tingkat Perlziann Persyaratan Janglra KewaJiben PB Parameter,,,,,3. Surat pernyataan dari produsen benih dan/atau bibit tanaman hutan negara asal yang menerangkan bahwa benih dan/atau bibit tanaman hutan yang dimasukkan ke 4. Surat Keterangan tentang asalSK,,,,,
,52523,C r.c. 131 lVo Kode Judul Rueng SLala Tingkat Perizinan Persyaratan Jangta Kcwqiiban PB Parameter,,,,,5. Apabila benih dan/atau bibit yang dimasukkan ke dalam wilayah,,,,,
,52524,C FRES IDEN REPUBLIK INDONESIA t.c.t32 IIIo Kode Judul Ruang SLala Tingtat Perizlaan Persyaratan Jangta,,,,,,,,,,
,52525,C r.c. 133 No Kodc Judul Ruang Skela Tinglat Perizinan Persyaratan Jangka Kewajiban PB Paramcter,,,,,6. Bukti bayar,,,,,Menteri
,52526,C PRESIDEN REPLJBLIK INDONESIA r.c.134 lYo Kode Judul Ruang $kela Tingkat Perizinan Persyaratan Janglrr Kewqiiban,,,Tinggi,NIB dan,7. Bukti bayar,15 Hari,,,Seluruh,Menteri
,52527,C r.c.135 TiagLat Perizlnan Persyaratan Jangka KewaJibaa PB Parameter KewetrangaD KBLI KBLI Lingkup Usaha Risiko,,,,,2. Melaksanapengedarkan packing an benih benih atau dan/atau b. 3. Melaksanapengedarkan an benih ketentuan dan bibit,,,,,
,52528,C FRESIDEN REPUBLIK INDONESIA No Kode Judul Ruang Skale Tingket Perizinan Persyarataa Jangka Kewqiiban PB,,,,,"2. Surat Keterangan tentang asalusul (certificate of origin), dokumen kualitas (certificate of qtalitgl dari instansi berwenang 3. Bukti bayar",,,,,
,52529,C No Kode Judul Ruang SInla Tingket Pcrizinan Persyaratan JangLa KewaJibaa PB Perameter Kewcnangaa KBLI,,,Rendah,NIB,,,,,Seluruh,Menteri
,52530,C IYo Kode Judul Ruang Skala Tingkat Perizinan Persyaratan Jangka KewaJibaa PB Parameter Kewenangan I(BLI,,,Rendah,NIB,2. Menjalankan 5. kurang dari,10 Hari,,,Seluruh,Gubernur
,52532,C FRESIDEN REPUBLIK INDONESIA No Kode Judul Ruang Sltela Tingkat Pcrlzinan Persyaratan Jangke Kcwqiiban PB,,,Tinggi,NIB dan,7. Mengajukan pengolahan addendum hasil hutan perizinan bukan berusaha kayu skala apabila kecil merencanaKegiatan,10 Hari,,,Seluruh,Menteri
,52534,C t.c.t42 Tingkat Perlzlnen Persyaratan Jangta Kewejiban PB Parameter Kewenangan KBLI KBLI Lingkup Usaha Risilro,,,,,10. Membayar terpadu 11. Melakukan penyesuaian perubahan data pokok dalam,,,,,
,52535,C No Kode Judul Ruang Stala TingLat Periziaan Persyaratan Jangka KewaJiban PB Parameter Kewenangen KBLI,,,Rendah,NIB,"12. Melakukan kegiatan produksi, 1. MerealisasiSeluruh 2. Menjalankan (seribu) usahanya ton/tahun sesuai",,,,Seluruh,Gubernur
,52537,C FRESIDEN REPUBLIK INDONESIA ItIo Kode Judul Ruang Slrela TingLat Perizinrn Pcrsyaratan Jangka KcwaJiban PB,,,Tinggi,NIB dan,,10 Hari,,,Seluruh,Gubernur
,52538,C r.c.t46 No Kodc Judul Ruang Slrala Tingtat Perizinan Persyeratan Jangka Kcwajiban PB Pararneter Kewenangan,,,Tinggi,NIB dan,7. Mengajukan meter addendum kubik per perizinan tahun vans berusaha 8. Memiliki Kegiatan,0 Hari,,,Seluruh,Gubernur
,52540,C IVo Kode Judul Ruang Skela Tlngkat Perizinan Persyaretan Jangka Kewqiiban PB Parameter Keweaangan KBLI,,,Tinggi,NIB dan,9. Melaksanaton/tahun kan atau lebih pengukuran 10. Membayar produksi 11. Melakukan penyesuaian,,,,Seluruh,Menteri
,52541,C PRESIDEN REPLJBLIK INDONESIA r.c.t49 IYo Kode Judul Ruang Skala Tinglat Perizinan Persyaratan Jengke Kewqiiban,,,,,,,,,,
,52542,C PRES DEN I REPUBLTK INDONESIA r.c. 150 Itto Kode Judul Ruang $lrqla Tinglat Perizinan,,,Rendah,NIB,1. MerealisasiSeluruh 2. Menjalankan,,,,Seluruh,Gubernur
,52543,C I.C. 151 Itlo Kode Judul Ruaag SLala TingLat Perizinan Persyaratan Jangta Kewqiiban PB Paramctcr,,,Rendah,NIB,,10 Hari,,,Seluruh,Gubernur
,52544,C PRES IDEN REPUBLIK INOONESIA r.c.152 Tinglrat Pcrizinan Persyaraten Janglra KewaJlban PB Parameter Kewenengan KBLI,,,Tinggi,NIB dan,"7. kubik per Mengajukan tahun yang addendum terpadu perizinan dengan berusaha pengolahan lL*'l:,,""- hasil hutan bukan kan kayu skala penambahan kecil jenis 8. Memiliki Kepala 9. MelaksanaKegiatan 10. Membayar (enam ribu)",10 Hari,,,Seluruh,Gubernur
,52547,C PRESIDEN REPUBLTK INDONESIA r.c.155 No Kode Judul Ruang Skela TingLat Perizinan Persyaraten Jangka KewaJiban,,,,,11. Melakukan penyesuaian perubahan data pokok dalam,,,,,
,52548,C llo Kode Judul Ruang Skala Tinglat Perlzlnan Persyaratan JangLa KewaJiban PB Parameter Kcwenangan KBLI,,,,,"12. Melakukan kegiatan produksi, memiliki sarana dan prasarana kegiatan pengolahan hasil hutan",,,,,
,52549,C IYo Kode Judul Ruang $flrgla Tingtat Periziaan Persyaratan Jangka Kewqiiban PB Parameter Kewenangan KBLI,,,,,,,,,,
,16212,Industri Kegiatan - Mikro Rendah NIB Otomatis 1. MerealisasiSeluruh Gubernur Kayu pengolahan - Kecil kan,,,Rendah,NIB,1. MerealisasiSeluruh 2. Menjalankan,0 Hari,,,Seluruh,Gubernur
,52550,C PRES IDEN REPLJBLIK INDONESIA No Kode Judul Ruang Skah Tingkat Perizinan Persyaratan Janglra KewaJiban,,,Tinggi,NIB dan,,10 Hari,,,Seluruh,Gubernur
,52551,C PRES IDEN REPUBLIK INOONESIA r.c.159 No Kode Judul Ruang Skrla Tingkat Perizinen Persyarataa Jangka,,,Tinggi,NIB dan,7. Mengajukan tahun yang addendum terpadu perizinan dengan berusaha pengolahan apabila hasil hutan merencanabukan kan kayu skala penambahan kecil ienis,10 Hari,,,Seluruh,Gubernur
,52552,C PRESIDEN REFUBLIK INDONESIA r.c.160 No Kode Judul Ruang SLala Tingkat Perizinan Persyaraten Janglra KewaJiban,,,Tinggi,NIB dan,8. Memiliki Kepala,10 Hari,,,Seluruh,Menteri
,52553,C Tingkat Perizinan Persyaratan Jangka Kewajiban PB Parameter Kewenangan KBLI I(BLI Lingkup Usahe Rlsiko Berusaha,,,Tinggi,NIB dan,9. MelaksanaSeluruh 1. Melakukan penyesuaian perubahan data pokok dalam,10 Hari,,,Seluruh,Menteri
,52554,C PRESIDEN REPUBLTK INDONESIA r.c.t62 No Kode Judul Ruang SLala TingLat Perizlnan Persyaratan Jangla KcwqJlban,,,,,,,,,,
,52555,C r.c.163 No Kode Judul Ruang Stala Tingkat Pcrlzlnan Persyaratan Jangta KewaJiban PB Parameter Kewenangan,,,Rendah,NIB,1. MerealisasiSeluruh 2. Menjalankan,,,,Seluruh,Gubernur
,52556,C r.c.164 IYo Kodc Judul Ruang Skala Tingkat Perizinan Persyaratan Jangka KcwaJiban PB Parameter Kcwcnangan,,,Tinggi,NIB dan,,10 Hari,,,Seluruh,Gubernur
,52557,C No Kode Judul Ruaag Strala TingLat Perizlnan Persyaratan Jangka Kewqiiban PB Perameter Kewenangan KBLI,,,Tinggi,NIB dan,,10 Hari,,,Seluruh,Gubernur
,52558,C IYo Kode Judul Ruaag S}ala TingLat Perizinan Persyaratan Jaagka Kewajiban PB Parameter Kewenangan KBLI,,,Tinggi,NIB dan,7. Mengajukan kubik per addendum tahun yang penzinan terpadu berusaha dengan apabila pengolahan merencanahasil hutan kan bukan penambahan kayu skala jenis kecil pengolahan,10 Hari,,,Seluruh,Menteri
,52559,C PRES DEN I REPUBLIK INDONESIA t.c.t67 No Kode Judul Rueng Stala TingLat Perizinan Persyaratan,,,Tinggi,NIB dan,8. Memiliki Seluruh 9. Melaksanaatau lebih kan,10 Hari,,,Seluruh,Menteri
,52560,C No Kodc Judul Ruang Stala Tinglat Perizlnan Persyaratan Jangta Kewqiiban PB Perameter Kewenangan KBLI,,,,,1. Melakukan penyesuaian perubahan data pokok dalam,,,,,
,52561,C IIo Kode Judul Ruang SLala Tingkat Perizinen Persyaratan Jangta Kewajiban PB Paremeter Kewenangan KBLI,,,,,,,,,,
,16215,Industri Kegiatan - Mikro Rendah NIB Otomatis I. MerealisasiSeluruh Gubernur Kayu pengolahan - Kecil kan,,,Rendah,NIB,,,,,Seluruh,Gubernur
,52562,C PRES IDEN REPUBLTK INDONESIA r.c.r70 !to Kode Judul Ruang Skda Tiaglat Pcrlzinan Persyaratan Janglra,,,Rendah,NIB,2. Menjalankan,10 Hari,,,Seluruh,Gubernur
,52563,C PRESIDEN REPLJBLIK INDONESIA r.c.ITo Kode Judul Ruang SLala Tingtat Perlzlnan Persyaratan Jengke Kewajiban PB,,,Tinggi,NIB dan,7. Mengajukan terpadu addendum dengan perizinan pengolahan berusaha hasil hutan apabila bukan merencanakayu skala kan kecil penambahan,10 Hari,,,Seluruh,Gubernur
,52565,C r.c.t73 No Kode Judul Ruang Skela Tinglat Perizinan Persyaratan Jangka Kewajiban PB Parameter Kewenangan,,,Tinggi,NIB dan,9. Kegiatan Besar,10 Hari,,,Seluruh,Menteri
,52566,C t.c.L74 No Kode Judul Ruang SLala Tingkat Perizinan Persyaratan JangLa Kewajiban PB Parameter Kewenangan,,,,,1. Melakukan penyesuaian perubahan data pokok dalam,,,,,
,52567,C I.C.T75 No Kode Judul Rurng Skala TtngLat Perlzlnan Persyaratan JangLa KewaJiban PB Parametcr Kewcaangan,,,,,,,,,,
,52568,"C PR,ESIDEN REPUBLIK INDONESIA r.c.t76 lVo Kode Judul Ruang Skala Tinglat Pcrizinan Persyaratan Jangka Kewajibaa",,,Rendah,NIB,1. MerealisasiSeluruh 2. Menjalankan,10 Hari,,,Seluruh,Gubernur
,52570,C r.c.t78 No Kode Judul Ruang Skafa Tinglat Periziaan Persyaratan Jangka KewaJiban PB Parameter Kewenangan,,,Tinggi,NIB dan,7. Mengajukan terpadu addendum dengan perizinan pengolahan berusaha hasil hutan apabila bukan merencanakayu skala kan kecil penambahan 8. Memiliki bukan dan/atau kayu mempekeda,10 Hari,,,Seluruh,Gubernur
,52572,C r.c.180 Itlo Kode Judul Ruang SLala TingLat Perizinan Persyeratan Janglra Kewajiban PB Perameter Kewenangan,,,Tinggi,NIB dan,9. MelaksanaSeluruh,10 Hari,,,Seluruh,Menteri
,52573,C PRESIDEN REPUBLTK INDONESIA I.C. 181 TingLat Perizinan Persyaratan Jangta Kewajiban PB Parameter Kewenangan KBLI,,,,,1. Melakukan penyesuaian perubahan data pokok dalam,,,,,
,52574,C PRESIDEN REPUBLTK INDONESIA t.c.t82 ItIo Kodc Judul Ruang glrqla Tiaglat Perizinan Persyaratan Jangka Kewqiiban,,,,,"12. Melakukan kegiatan produksi, memiliki sarana dan prasarana kegiatan pengolahan hasil hutan",,,,,
,52575,C,,,,,,,,,,
