ID,Name,Category
1EH_0mkuEj5ZSe5mHqjUtUK7AwSoQ-9cO	Akses Informasi Keuangan Untuk Kepentingan Perpajakan.pdf	Other
1ZgCJb-8DYllExV5TalXNhlt4tibSFp5i	Anggaran Pendapatan dan Belanja Negara Tahun 2022.pdf	Budget
18cR9l1rZFqdvlzWOkElGFXXypTSBUYVl	Anggaran Pendapatan dan Belanja Negara Tahun 2022.pdf	Budget
1qhBimdV8OUSxNLoBAiTDMUmKepNekQg1	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2001.pdf	Budget
1QgVxip3vvNr0pLpV9IaGZxatqneBjwbA	Anggaran Pendapatan Dan Belanja Negara Tahun Anggaran 2003.pdf	Budget
1h7kaSJti9KP3Oi15ealTZtvv0ZFg3xHY	Anggaran Pendapatan Dan Belanja Negara Tahun Anggaran 2004.pdf	Budget
1ypgZhI7dSthD75qeFYR1t5LUEVUG8hxv	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2005.pdf	Budget
1hzYrzhOLzXxamcT0JKTDjaiSkLfWFk-u	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2009.pdf	Budget
1w3ZUGZnt5DukXLIPoM1lwHA42nFc908M	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2010.pdf	Budget
1sp-QnqHa2Ga31fWgW5WQFsBztOcGJhXo	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2013.pdf	Budget
1sY_bSFzF-a3-xUAYWttrxuYN8ov8fpe3	Anggaran Pendapatan Dan Belanja Negara Tahun Anggaran 2015.pdf	Budget
1wKLRYIuaPoCFDu9b4ES7aOKVvd-kxMrY	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2018.pdf	Budget
1FhaD1cy_irp36z2Bl7v5VkBSwNiDDTgg	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2018.pdf	Budget
1_HfPXrQ-OS7oOgAzdn8owXVz6tAMGyfi	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2025.pdf	Budget
1uIP0yFxG-gJK1Uftf6dkutcqt0qICVJ0	Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2025.pdf	Budget
